n, Create-time(ns), Shuffle-time(ns), Copy-time(ns), reserve-time(ns), QS-time(ms), BS-time(ms), BSearch-time(ns), LSearch-time(ns), Total-time(m)
506000,1174900,2220500,372700,9700,45,120100,84619100,0
511000,1304700,2290100,562400,18000,45,243200,85472500,0
516000,1130800,1881700,346900,6500,46,177100,90131800,0
521000,1135800,2137200,639600,16200,47,178800,87200700,0
526000,1137700,2583000,365100,8100,47,229900,88247700,0
531000,1358100,2384700,376700,10600,47,226500,91128800,0
536000,1178500,2268800,390700,10900,48,172400,91542300,0
541000,1171000,2025800,593300,18000,50,286500,92083800,0
546000,1182500,2076600,524900,10400,49,162000,95548300,0
551000,1195800,2091300,693200,9100,50,215400,92734600,0
556000,1548600,2676900,588400,9900,50,194400,96294000,0
561000,1328800,2222500,416900,9900,50,179200,94153800,0
566000,1158700,2605700,398900,7900,51,141100,97495500,0
571000,1194100,2815000,742500,10300,52,126400,97787000,0
576000,1208800,2788100,434700,10400,52,349500,96249900,0
581000,1227000,2729700,955100,9800,55,260900,99506400,0
586000,1188200,2845900,403200,10000,53,191200,95670500,0
591000,1211500,2475600,736400,8500,54,332100,99484400,0
596000,1227700,2659300,515500,9000,55,402100,101562600,0
601000,1329400,2951600,407900,8300,56,253500,99710300,0
606000,1265000,2374600,407200,9400,55,162600,100303700,0
611000,1550500,3180700,415900,19600,56,170000,106597000,0
616000,1267300,2550200,457800,10400,56,280100,105876900,0
621000,1224600,2870200,531200,8300,56,226300,106325300,0
626000,1519300,3002100,418200,7800,58,140600,108291500,0
631000,1268200,2981000,448900,7800,58,146500,110207100,0
636000,1432300,3014600,460200,7700,60,205100,113357300,0
641000,1321700,2477800,505800,19100,60,197200,111952200,0
646000,1344300,2509700,435500,8000,58,152200,109345500,0
651000,1282900,3026400,718000,9200,60,178500,110806000,0
656000,1778900,2803800,741200,10600,58,312400,118669200,0
661000,1823700,3279100,840700,10100,61,241100,111294200,0
666000,1840700,2908200,897700,17000,59,177700,114938500,0
671000,2040300,2979100,453300,8200,60,200500,115966300,0
